1.1. Imprime Bonjour UpyLaB !;2.1. Assignations simples;2.2. Moyenne arithmetique;2.3. La regle de trois;2.4. Moyenne arithmetique 2;2.5. Sommets d'un hexagone;2.6. Volume d'une sphere;2.7. Impression d'expressions diverses;2.8. Impressions de textes;3.1. Teste egalite parmi 3 nombres;3.2. Simple test sur un entier a lu;3.3. Teste abc;3.4. Parite;3.5. a diviseur ou divise par b;3.6. Roulette;3.7. Moyenne geometrique;3.8. Polyedres reguliers;3.9. Moyenne d'une suite de nombres;3.10. Petit jeu;3.11. Programme qui evalue sin(x);3.12. Carre de 'X';3.13. Triangle superieur de 'X';3.14. Somme de valeurs lues
7;7;2;1;2;3;1;1;2;1;1;1;1;1;3;4;2;2;13;2;1;1;2
1;;;;;;;;;1;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;
2;2;1;3;1;3;;;;;;;;;;;;;;;;;
10;7;5;2;1;7;4;8;;;;;;;;;;;;;;;
1;2;8;1;1;9;2;2;1;1;1;1;1;2;2;5;1;2;7;2;2;1;1
2;;;;;;;;;;;;;;;;;;;;;;
;1;1;1;4;1;1;3;3;;;;;;;;;;;;;;
11;3;3;8;2;15;1;3;1;11;8;1;4;34;55;2;16;3;80;;3;27;14
2;;;;;;;;;;;;;;;;;;;;;;
1;4;;;;;;;;;;;;;;;;;;;;;
4;4;6;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;7;10;6;3;7;3
3;3;1;1;1;2;1;1;1;1;1;1;1;2;2;1;3;1;5;1;1;1;2
7;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
1;1;2;1;1;1;1;1;1;2;1;1;1;1;3;2;3;1;9;2;1;2;2
5;1;2;1;2;2;2;2;1;2;1;2;1;1;2;2;3;2;2;11;1;2;2
2;;;;;;;;;;;;;;;;;;;;;;
1;2;1;2;1;1;;;;;;;;;;;;;;;;;
4;1;1;1;1;1;1;1;1;1;2;2;1;1;3;1;2;1;1;3;1;1;1
;3;1;1;1;;4;1;2;1;2;1;;;;;;1;1;;1;;
1;;;;;;;;;;;;;;;;;;;;;;
1;1;1;1;1;1;2;1;1;1;1;2;1;7;8;4;2;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;
;6;4;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;;;;
1;1;1;1;1;2;1;2;2;1;1;1;1;3;4;2;3;;;;;;
3;2;2;1;1;1;1;1;1;2;4;1;8;12;1;1;3;1;35;11;3;;
1;1;1;1;1;1;1;1;4;2;2;1;2;1;4;2;2;4;12;6;5;2;2
4;1;1;1;2;3;1;6;3;7;1;1;1;1;11;2;2;5;13;;;;
3;6;9;1;1;17;1;2;6;4;1;22;1;2;48;5;16;52;112;10;1;;13
1;1;2;1;1;;;;;;;;;;;;;;;;;;
